SOCcode,JobName,JobFamily,isBright,isGreen,JobZone,MedianSalary,JobForecast,ChanceAuto,WageGroup
13-2011.01,Accountants,Business and Financial Operations,TRUE,FALSE,4,70500,146000,-1,Accountants and Auditors
13-2011.00,Accountants and Auditors,Business and Financial Operations,TRUE,FALSE,-1,70500,146000,94,
27-2011.00,Actors,"Arts, Design, Entertainment, Sports, and Media",FALSE,FALSE,2,17.54,7700,37,
15-2011.00,Actuaries,Computer and Mathematical,TRUE,FALSE,4,102880,2200,21,
29-1199.01,Acupuncturists,Healthcare Practitioners and Technical,TRUE,FALSE,5,73960,3400,-1,"Health Diagnosing and Treating Practitioners, All Other"
29-1141.01,Acute Care Nurses,Healthcare Practitioners and Technical,TRUE,FALSE,3,71730,210400,-1,Registered Nurses
25-2059.01,Adapted Physical Education Specialists,"Education, Training, and Library",TRUE,FALSE,4,56680,3200,-1,"Special Education Teachers, All Other"
51-9191.00,Adhesive Bonding Machine Operators and Tenders,Production,FALSE,FALSE,2,33820,2100,95,
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal,FALSE,FALSE,5,99850,800,64,
11-3011.00,Administrative Services Managers,Management,TRUE,FALSE,3,96180,28100,73,
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"Education, Training, and Library",FALSE,FALSE,4,53630,6600,19,
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,TRUE,FALSE,5,71730,210400,-1,Registered Nurses
11-2011.00,Advertising and Promotions Managers,Management,FALSE,FALSE,4,117130,2700,4,
41-3011.00,Advertising Sales Agents,Sales and Related,FALSE,FALSE,4,51740,19500,54,
17-3021.00,Aerospace Engineering and Operations Technicians,Architecture and Engineering,FALSE,FALSE,3,67010,1100,48,
17-2011.00,Aerospace Engineers,Architecture and Engineering,FALSE,TRUE,4,115220,4500,1.7,
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations,TRUE,FALSE,4,66040,2600,24,
19-4011.00,Agricultural and Food Science Technicians,"Life, Physical, and Social Science",FALSE,FALSE,-1,40860,3800,97,
17-2021.00,Agricultural Engineers,Architecture and Engineering,FALSE,FALSE,4,77110,200,49,
45-2091.00,Agricultural Equipment Operators,"Farming, Fishing, and Forestry",TRUE,FALSE,1,31190,12100,-1,
45-2011.00,Agricultural Inspectors,"Farming, Fishing, and Forestry",FALSE,TRUE,2,44140,2700,94,
25-1041.00,"Agricultural Sciences Teachers, Postsecondary","Education, Training, and Library",FALSE,FALSE,5,84640,1200,-1,
19-4011.01,Agricultural Technicians,"Life, Physical, and Social Science",FALSE,TRUE,3,40860,3800,-1,Agricultural and Food Science Technicians
45-2099.00,"Agricultural Workers, All Other","Farming, Fishing, and Forestry",FALSE,FALSE,-1,29480,2100,-1,
53-2021.00,Air Traffic Controllers,Transportation and Material Moving,FALSE,FALSE,3,124540,2300,11,
53-1011.00,Aircraft Cargo Handling Supervisors,Transportation and Material Moving,FALSE,FALSE,2,48610,1000,7,
49-3011.00,Aircraft Mechanics and Service Technicians,"Installation, Maintenance, and Repair",FALSE,FALSE,3,62920,11800,71,
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production,FALSE,TRUE,2,53340,2500,79,
53-2022.00,Airfield Operations Specialists,Transportation and Material Moving,TRUE,FALSE,3,52200,1100,71,
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Transportation and Material Moving,FALSE,FALSE,4,140340,9100,18,
29-1069.01,Allergists and Immunologists,Healthcare Practitioners and Technical,TRUE,FALSE,5,200890,16500,-1,"Physicians and Surgeons, All Other"
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Transportation and Material Moving,TRUE,FALSE,2,25750,2700,-1,
39-3091.00,Amusement and Recreation Attendants,Personal Care and Service,TRUE,FALSE,1,22260,83500,72,
29-1071.01,Anesthesiologist Assistants,Healthcare Practitioners and Technical,TRUE,FALSE,5,108610,11500,-1,Physician Assistants
29-1061.00,Anesthesiologists,Healthcare Practitioners and Technical,FALSE,FALSE,5,208000,1200,-1,
45-2021.00,Animal Breeders,"Farming, Fishing, and Forestry",FALSE,FALSE,2,37060,1500,95,
33-9011.00,Animal Control Workers,Protective Service,FALSE,FALSE,2,36330,1300,21,
19-1011.00,Animal Scientists,"Life, Physical, and Social Science",TRUE,FALSE,5,58380,300,6,
39-2011.00,Animal Trainers,Personal Care and Service,TRUE,FALSE,2,29290,7600,10,
19-3091.01,Anthropologists,"Life, Physical, and Social Science",TRUE,FALSE,5,62410,800,-1,Anthropologists and Archeologists
19-3091.00,Anthropologists and Archeologists,"Life, Physical, and Social Science",TRUE,FALSE,-1,62410,800,0.8,
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary","Education, Training, and Library",TRUE,FALSE,5,83940,700,-1,
13-2021.00,Appraisers and Assessors of Real Estate,Business and Financial Operations,TRUE,FALSE,-1,54980,6700,90,
13-2021.02,"Appraisers, Real Estate",Business and Financial Operations,TRUE,FALSE,4,54980,6700,-1,Appraisers and Assessors of Real Estate
11-9013.03,Aquacultural Managers,Management,FALSE,FALSE,4,67950,95600,-1,"Farmers, Ranchers, and Other Agricultural Managers"
23-1022.00,"Arbitrators, Mediators, and Conciliators",Legal,TRUE,TRUE,5,62270,400,6,
19-3091.02,Archeologists,"Life, Physical, and Social Science",TRUE,FALSE,5,62410,800,-1,Anthropologists and Archeologists
