SOCcode,JobName,JobFamily,isBright,isGreen,JobZone,MedianSalary,JobForecast,ChanceAuto,WageGroup
13-2011.01,Accountants,Business and Financial Operations,True,False,4,70500.0,146000,-1.0,Accountants and Auditors
13-2011.00,Accountants and Auditors,Business and Financial Operations,True,False,-1,70500.0,146000,94.0,
27-2011.00,Actors,"Arts, Design, Entertainment, Sports, and Media",False,False,2,17.54,7700,37.0,
15-2011.00,Actuaries,Computer and Mathematical,True,False,4,102880.0,2200,21.0,
29-1199.01,Acupuncturists,Healthcare Practitioners and Technical,True,False,5,73960.0,3400,-1.0,"Health Diagnosing and Treating Practitioners, All Other"
29-1141.01,Acute Care Nurses,Healthcare Practitioners and Technical,True,False,3,71730.0,210400,-1.0,Registered Nurses
25-2059.01,Adapted Physical Education Specialists,"Education, Training, and Library",True,False,4,56680.0,3200,-1.0,"Special Education Teachers, All Other"
51-9191.00,Adhesive Bonding Machine Operators and Tenders,Production,False,False,2,33820.0,2100,95.0,
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal,False,False,5,99850.0,800,64.0,
11-3011.00,Administrative Services Managers,Management,True,False,3,96180.0,28100,73.0,
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"Education, Training, and Library",False,False,4,53630.0,6600,19.0,
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical,True,False,5,71730.0,210400,-1.0,Registered Nurses
11-2011.00,Advertising and Promotions Managers,Management,False,False,4,117130.0,2700,4.0,
41-3011.00,Advertising Sales Agents,Sales and Related,False,False,4,51740.0,19500,54.0,
17-3021.00,Aerospace Engineering and Operations Technicians,Architecture and Engineering,False,False,3,67010.0,1100,48.0,
17-2011.00,Aerospace Engineers,Architecture and Engineering,False,True,4,115220.0,4500,1.7,
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations,True,False,4,66040.0,2600,24.0,
19-4011.00,Agricultural and Food Science Technicians,"Life, Physical, and Social Science",False,False,-1,40860.0,3800,97.0,
17-2021.00,Agricultural Engineers,Architecture and Engineering,False,False,4,77110.0,200,49.0,
45-2091.00,Agricultural Equipment Operators,"Farming, Fishing, and Forestry",True,False,1,31190.0,12100,-1.0,
45-2011.00,Agricultural Inspectors,"Farming, Fishing, and Forestry",False,True,2,44140.0,2700,94.0,
25-1041.00,"Agricultural Sciences Teachers, Postsecondary","Education, Training, and Library",False,False,5,84640.0,1200,-1.0,
19-4011.01,Agricultural Technicians,"Life, Physical, and Social Science",False,True,3,40860.0,3800,-1.0,Agricultural and Food Science Technicians
45-2099.00,"Agricultural Workers, All Other","Farming, Fishing, and Forestry",False,False,-1,29480.0,2100,-1.0,
53-2021.00,Air Traffic Controllers,Transportation and Material Moving,False,False,3,124540.0,2300,11.0,
53-1011.00,Aircraft Cargo Handling Supervisors,Transportation and Material Moving,False,False,2,48610.0,1000,7.0,
49-3011.00,Aircraft Mechanics and Service Technicians,"Installation, Maintenance, and Repair",False,False,3,62920.0,11800,71.0,
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production,False,True,2,53340.0,2500,79.0,
53-2022.00,Airfield Operations Specialists,Transportation and Material Moving,True,False,3,52200.0,1100,71.0,
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Transportation and Material Moving,False,False,4,140340.0,9100,18.0,
29-1069.01,Allergists and Immunologists,Healthcare Practitioners and Technical,True,False,5,200890.0,16500,-1.0,"Physicians and Surgeons, All Other"
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Transportation and Material Moving,True,False,2,25750.0,2700,25.0,
39-3091.00,Amusement and Recreation Attendants,Personal Care and Service,True,False,1,22260.0,83500,72.0,
29-1071.01,Anesthesiologist Assistants,Healthcare Practitioners and Technical,True,False,5,108610.0,11500,-1.0,Physician Assistants
29-1061.00,Anesthesiologists,Healthcare Practitioners and Technical,False,False,5,208000.0,1200,-1.0,
45-2021.00,Animal Breeders,"Farming, Fishing, and Forestry",False,False,2,37060.0,1500,95.0,
33-9011.00,Animal Control Workers,Protective Service,False,False,2,36330.0,1300,21.0,
19-1011.00,Animal Scientists,"Life, Physical, and Social Science",True,False,5,58380.0,300,6.0,
39-2011.00,Animal Trainers,Personal Care and Service,True,False,2,29290.0,7600,10.0,
19-3091.01,Anthropologists,"Life, Physical, and Social Science",True,False,5,62410.0,800,-1.0,Anthropologists and Archeologists
19-3091.00,Anthropologists and Archeologists,"Life, Physical, and Social Science",True,False,-1,62410.0,800,0.8,
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary","Education, Training, and Library",True,False,5,83940.0,700,-1.0,
13-2021.00,Appraisers and Assessors of Real Estate,Business and Financial Operations,True,False,-1,54980.0,6700,90.0,
13-2021.02,"Appraisers, Real Estate",Business and Financial Operations,True,False,4,54980.0,6700,-1.0,Appraisers and Assessors of Real Estate
11-9013.03,Aquacultural Managers,Management,False,False,4,67950.0,95600,-1.0,"Farmers, Ranchers, and Other Agricultural Managers"
23-1022.00,"Arbitrators, Mediators, and Conciliators",Legal,True,True,5,62270.0,400,6.0,
